model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1
RBF SVM,0.9142857142857143,0.06998542122237654,0.9133333333333333,0.07102425250887505,0.914045214045214,0.07030046235331648,0.8666666666666667,0.8666666666666666,0.8622895622895622
Linear SVM,0.9142857142857143,0.0832993127835043,0.9133333333333333,0.08524474568362948,0.9155266955266956,0.083259470981899,0.8333333333333334,0.8333333333333334,0.831328320802005
Logistic Regression,0.9,0.05714285714285716,0.9,0.05868938953886336,0.9005772005772006,0.05790012197249582,0.8333333333333334,0.8333333333333334,0.831328320802005
